,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2001-07-16,0.427857,-0.8989,0.103,0.795,0.102,0.44428599999999996,0.44821400000000006,0.426964,278667200.0
2001-07-17,0.44821400000000006,-0.9991,0.159,0.758,0.084,0.42821400000000004,0.45035699999999995,0.410893,647830400.0
2001-07-18,0.37125,-0.9958,0.115,0.816,0.069,0.38892899999999997,0.40678600000000004,0.364643,1137012800.0
2001-07-19,0.356429,-0.9958,0.115,0.81,0.075,0.379107,0.3825,0.352679,861140000.0
2001-07-20,0.356786,-0.8786,0.111,0.789,0.101,0.351786,0.358214,0.348036,444584000.0
2001-07-23,0.348929,-0.998,0.138,0.812,0.05,0.35875,0.366071,0.348393,241360000.0
2001-07-24,0.340893,-0.9979,0.117,0.82,0.063,0.34625,0.355714,0.334464,348376000.0
2001-07-25,0.32982100000000003,-0.9972,0.122,0.809,0.069,0.341429,0.344643,0.320893,443878400.0
2001-07-26,0.331964,-0.9996,0.176,0.74,0.084,0.33,0.335714,0.31875,369140800.0
2001-07-27,0.338571,-0.9963,0.104,0.837,0.059,0.334821,0.34375,0.330357,334135200.0
2001-07-30,0.338036,-0.4584,0.077,0.839,0.084,0.341429,0.34571399999999997,0.330536,243359200.0
2001-07-31,0.335536,-0.9981,0.115,0.814,0.071,0.344107,0.34678600000000004,0.330536,235026400.0
2001-08-01,0.340357,-0.9991,0.134,0.823,0.043,0.339464,0.353214,0.338393,304136000.0
2001-08-02,0.353929,-0.998,0.11,0.832,0.058,0.350893,0.354821,0.343929,252089600.0
2001-08-03,0.34821399999999997,-0.9552,0.089,0.839,0.072,0.355179,0.35535700000000003,0.33928600000000003,186054400.0
2001-08-06,0.341607,-0.9969,0.107,0.821,0.072,0.34,0.351071,0.33928600000000003,99652000.0
2001-08-07,0.34375,-0.9984,0.108,0.834,0.058,0.345179,0.35125,0.338929,168548800.0
2001-08-08,0.3375,-0.9979,0.114,0.812,0.074,0.343929,0.351786,0.331071,276169600.0
2001-08-09,0.340179,-0.9876,0.08,0.86,0.06,0.338571,0.341964,0.334286,200664800.0
2001-08-10,0.339643,-0.9979,0.1,0.843,0.057,0.34,0.345,0.331964,186961600.0
2001-08-13,0.340893,-0.9986,0.132,0.789,0.079,0.341071,0.345179,0.335,147996800.0
2001-08-14,0.334464,-0.9856,0.098,0.829,0.073,0.342857,0.34571399999999997,0.333393,228950400.0
2001-08-15,0.329286,-0.9964,0.111,0.809,0.079,0.335,0.338214,0.325,289279200.0
2001-08-16,0.333036,-0.9753,0.079,0.86,0.061,0.32625,0.334821,0.320893,288092000.0
2001-08-17,0.322679,-0.9963,0.106,0.811,0.083,0.321429,0.329464,0.32125,208426400.0
2001-08-20,0.323571,-0.9559,0.111,0.774,0.114,0.323929,0.325536,0.318036,252302400.0
2001-08-21,0.32,-0.9985,0.121,0.793,0.086,0.323929,0.323929,0.316071,185701600.0
2001-08-22,0.325179,-0.9961,0.115,0.805,0.08,0.320357,0.325893,0.31446399999999997,173975200.0
2001-08-23,0.318036,-0.9994,0.137,0.777,0.086,0.325,0.3275,0.313929,217078400.0
2001-08-24,0.33160700000000004,-0.998,0.12,0.791,0.089,0.321429,0.3325,0.315179,290332000.0
2001-08-27,0.337857,-0.9972,0.113,0.808,0.079,0.33214299999999997,0.344643,0.324286,175644000.0
2001-08-28,0.328571,-0.9985,0.11,0.82,0.07,0.3375,0.34178600000000003,0.328571,171735200.0
2001-08-29,0.318393,-0.9997,0.161,0.746,0.093,0.329286,0.33625,0.318393,239971200.0
2001-08-30,0.318393,-0.9839,0.074,0.866,0.06,0.316786,0.32464299999999996,0.308571,368692800.0
2001-08-31,0.33125,-0.9974,0.117,0.803,0.08,0.316607,0.33214299999999997,0.315179,216904800.0
2001-09-04,0.325893,-0.92,0.093,0.819,0.089,0.330357,0.34071399999999996,0.32464299999999996,348213600.0
2001-09-05,0.33125,-0.9988,0.128,0.788,0.084,0.325714,0.338393,0.323571,360057600.0
2001-09-06,0.316429,-0.94,0.081,0.843,0.076,0.328571,0.338036,0.315179,282368800.0
2001-09-07,0.308571,-0.9993,0.142,0.781,0.077,0.3125,0.323214,0.307143,241830400.0
2001-09-10,0.310179,-0.9973,0.117,0.814,0.069,0.303571,0.3125,0.302143,308845600.0
2001-09-17,0.30339299999999997,-0.999,0.158,0.749,0.093,0.28571399999999997,0.304821,0.280893,458007200.0
2001-09-18,0.290714,-0.8698,0.102,0.8,0.097,0.301786,0.316429,0.28875,327101600.0
2001-09-19,0.303929,-0.997,0.095,0.844,0.061,0.294643,0.305357,0.278571,373318400.0
2001-09-20,0.28,-0.9969,0.096,0.837,0.066,0.29089299999999996,0.302679,0.27678600000000003,411174400.0
2001-09-21,0.280893,-0.9945,0.097,0.846,0.057,0.264286,0.290179,0.26214299999999996,570516800.0
2001-09-24,0.29375,-0.9985,0.141,0.77,0.09,0.287679,0.300714,0.284821,294537600.0
2001-09-25,0.2775,-0.9987,0.12,0.804,0.075,0.28821399999999997,0.289643,0.274107,374404800.0
2001-09-26,0.270536,-0.9982,0.142,0.751,0.107,0.282321,0.28375,0.26660700000000004,493796800.0
2001-09-27,0.276964,-0.9983,0.128,0.818,0.055,0.272321,0.28125,0.271429,322240800.0
2001-09-28,0.276964,-0.9956,0.092,0.844,0.064,0.280536,0.284107,0.274821,365108800.0
2001-10-01,0.2775,-0.999,0.169,0.771,0.06,0.276607,0.285536,0.271964,208208000.0
2001-10-02,0.26875,-0.9987,0.129,0.811,0.06,0.275536,0.282679,0.265714,235883200.0
2001-10-03,0.2675,-0.9842,0.091,0.833,0.076,0.266964,0.27428600000000003,0.26482100000000003,683043200.0
2001-10-04,0.283571,-0.9676,0.098,0.817,0.085,0.274107,0.290179,0.267679,401122400.0
2001-10-05,0.28821399999999997,-0.9948,0.117,0.795,0.088,0.275,0.288393,0.267679,342686400.0
2001-10-08,0.289286,-0.9955,0.138,0.757,0.104,0.278036,0.291964,0.27678600000000003,207984000.0
2001-10-09,0.28571399999999997,-0.9985,0.158,0.772,0.07,0.286607,0.289286,0.279107,174025600.0
2001-10-10,0.30035700000000004,-0.9988,0.14,0.775,0.085,0.2875,0.30089299999999997,0.284821,307759200.0
2001-10-11,0.316786,-0.9717,0.073,0.879,0.048,0.302143,0.316786,0.30089299999999997,334163200.0
2001-10-12,0.32160700000000003,-0.9987,0.153,0.797,0.05,0.309107,0.322857,0.301071,287812000.0
2001-10-15,0.32125,-0.9981,0.144,0.786,0.07,0.320536,0.328214,0.320536,318752000.0
2001-10-16,0.32160700000000003,-0.9981,0.123,0.817,0.06,0.323036,0.325,0.317321,202949600.0
2001-10-17,0.30339299999999997,-0.9972,0.122,0.821,0.057,0.3275,0.32875,0.30285700000000004,285538400.0
2001-10-18,0.321429,-0.9972,0.118,0.817,0.065,0.30875,0.325536,0.30875,612572800.0
2001-10-19,0.326786,-0.998,0.128,0.817,0.055,0.320357,0.328571,0.319286,166790400.0
2001-10-22,0.339643,-0.9974,0.139,0.779,0.081,0.325179,0.340536,0.323036,391938400.0
2001-10-23,0.323929,-0.9994,0.164,0.767,0.069,0.341429,0.34678600000000004,0.31910700000000003,684980800.0
2001-10-24,0.338393,-0.9955,0.137,0.783,0.08,0.3225,0.340893,0.31696399999999997,374427200.0
2001-10-25,0.342679,-0.997,0.144,0.774,0.082,0.329286,0.34375,0.324286,254951200.0
2001-10-26,0.333393,-0.993,0.102,0.833,0.065,0.33678600000000003,0.34375,0.3325,278964000.0
2001-10-29,0.314821,-0.9992,0.16,0.772,0.068,0.33160700000000004,0.333393,0.314286,239181600.0
2001-10-30,0.314286,-0.9996,0.161,0.768,0.071,0.310357,0.321429,0.304643,276763200.0
2001-10-31,0.313571,-0.9973,0.128,0.807,0.065,0.316607,0.328571,0.311429,273750400.0
2001-11-01,0.331964,-0.971,0.077,0.86,0.063,0.315179,0.335357,0.30803600000000003,312995200.0
2001-11-02,0.33160700000000004,-0.9831,0.079,0.867,0.054,0.330714,0.33678600000000003,0.324286,197204000.0
2001-11-05,0.340536,-0.9505,0.089,0.839,0.072,0.336429,0.34375,0.332321,235793600.0
2001-11-06,0.349464,-0.9983,0.142,0.79,0.067,0.338571,0.35035700000000003,0.330893,316019200.0
2001-11-07,0.349821,-0.999,0.136,0.806,0.058,0.3475,0.359464,0.345179,382989600.0
2001-11-08,0.33410700000000004,-0.9988,0.131,0.801,0.067,0.350536,0.355179,0.33160700000000004,342143200.0
2001-11-09,0.33410700000000004,-0.9051,0.088,0.827,0.084,0.33214299999999997,0.34375,0.33125,134293600.0
2001-11-12,0.334821,-0.9971,0.122,0.802,0.076,0.333214,0.342321,0.320714,201499200.0
2001-11-13,0.345893,-0.9827,0.097,0.825,0.079,0.34071399999999996,0.34625,0.33410700000000004,224672000.0
2001-11-14,0.350179,-0.5428,0.128,0.746,0.126,0.349821,0.35535700000000003,0.341964,221149600.0
2001-11-15,0.347321,-0.939,0.098,0.838,0.065,0.347321,0.35535700000000003,0.343393,213029600.0
2001-11-16,0.33875,-0.9953,0.111,0.815,0.074,0.344107,0.344464,0.328571,230664000.0
2001-11-19,0.357143,-0.9976,0.15,0.775,0.075,0.33928600000000003,0.358036,0.338571,332589600.0
2001-11-20,0.34875,-0.9986,0.13,0.799,0.07,0.353929,0.360714,0.34821399999999997,276584000.0
2001-11-21,0.351429,-0.9969,0.096,0.845,0.059,0.350179,0.353571,0.343929,201583200.0
2001-11-23,0.354286,-0.988,0.104,0.82,0.076,0.351964,0.35625,0.349464,60004000.0
2001-11-26,0.38160700000000003,-0.9951,0.106,0.83,0.064,0.356071,0.384821,0.355,460689600.0
